SimNum,Stage,Scenario,Model,Cost
8,2,5.0,Expected,0.4
8,3,3.0,Expected,0.2
8,4,3.0,Expected,0.2
8,5,2.0,Expected,0.1
8,6,3.0,Expected,0.2
8,7,4.0,Expected,0.0
8,8,4.0,Expected,0.0
8,9,2.0,Expected,0.2
8,10,5.0,Expected,0.2
8,11,3.0,Expected,0.0
8,12,3.0,Expected,0.0
8,13,2.0,Expected,0.2
8,14,4.0,Expected,0.1
8,15,5.0,Expected,0.2
8,16,5.0,Expected,0.2
8,17,2.0,Expected,1.2000000000000002
8,18,4.0,Expected,0.5
8,19,5.0,Expected,0.0
8,20,5.0,Expected,0.2
8,21,4.0,Expected,0.1
8,22,2.0,Expected,0.3
8,23,5.0,Expected,0.2
8,24,4.0,Expected,0.1
9,1,5.0,Expected,0.4
9,2,5.0,Expected,0.4
9,3,3.0,Expected,0.2
9,4,3.0,Expected,0.2
9,5,2.0,Expected,0.1
9,6,3.0,Expected,0.2
9,7,5.0,Expected,0.1
9,8,3.0,Expected,0.3
9,9,3.0,Expected,0.0
9,10,4.0,Expected,0.1
9,11,3.0,Expected,0.0
9,12,3.0,Expected,0.0
9,13,5.0,Expected,0.2
9,14,4.0,Expected,0.1
9,15,2.0,Expected,0.2
9,16,3.0,Expected,0.0
9,17,3.0,Expected,0.8
9,18,5.0,Expected,0.0
9,19,3.0,Expected,1.2
9,20,5.0,Expected,0.2
9,21,4.0,Expected,0.1
9,22,2.0,Expected,0.3
9,23,5.0,Expected,0.2
9,24,5.0,Expected,0.2
10,1,4.0,Expected,0.30000000000000004
10,2,3.0,Expected,0.2
10,3,3.0,Expected,0.2
10,4,5.0,Expected,0.4
10,5,5.0,Expected,0.4
10,6,3.0,Expected,0.2
10,7,4.0,Expected,0.0
10,8,4.0,Expected,0.0
10,9,3.0,Expected,0.0
10,10,5.0,Expected,0.2
10,11,3.0,Expected,0.0
10,12,2.0,Expected,0.3
10,13,3.0,Expected,0.0
10,14,4.0,Expected,0.1
10,15,5.0,Expected,0.2
10,16,5.0,Expected,0.2
10,17,4.0,Expected,0.4
10,18,5.0,Expected,0.0
10,19,5.0,Expected,0.0
10,20,3.0,Expected,0.0
10,21,3.0,Expected,0.0
10,22,2.0,Expected,0.3
10,23,2.0,Expected,0.3
10,24,3.0,Expected,0.0
11,1,5.0,Expected,0.4
11,2,4.0,Expected,0.30000000000000004
11,3,4.0,Expected,0.30000000000000004
11,4,4.0,Expected,0.30000000000000004
11,5,3.0,Expected,0.2
11,6,4.0,Expected,0.0
11,7,5.0,Expected,0.1
11,8,3.0,Expected,0.3
11,9,2.0,Expected,0.2
11,10,5.0,Expected,0.2
11,11,4.0,Expected,0.1
11,12,2.0,Expected,0.3
11,13,4.0,Expected,0.1
11,14,3.0,Expected,0.0
11,15,2.0,Expected,0.2
11,16,3.0,Expected,0.0
11,17,3.0,Expected,0.8
11,18,3.0,Expected,1.0
11,19,3.0,Expected,1.2
11,20,2.0,Expected,0.5
11,21,4.0,Expected,0.1
11,22,5.0,Expected,0.2
11,23,3.0,Expected,0.0
11,24,4.0,Expected,0.1
12,1,2.0,Expected,0.1
12,2,5.0,Expected,0.4
12,3,5.0,Expected,0.4
12,4,5.0,Expected,0.4
12,5,5.0,Expected,0.4
12,6,3.0,Expected,0.2
12,7,4.0,Expected,0.0
12,8,5.0,Expected,0.1
12,9,4.0,Expected,0.1
12,10,5.0,Expected,0.2
12,11,3.0,Expected,0.0
12,12,3.0,Expected,0.0
12,13,2.0,Expected,0.2
12,14,3.0,Expected,0.0
12,15,4.0,Expected,0.1
12,16,5.0,Expected,0.2
12,17,5.0,Expected,0.0
12,18,5.0,Expected,0.0
12,19,5.0,Expected,0.0
12,20,2.0,Expected,0.5
12,21,4.0,Expected,0.1
12,22,3.0,Expected,0.0
12,23,3.0,Expected,0.0
12,24,3.0,Expected,0.0
13,1,5.0,Expected,0.4
13,2,5.0,Expected,0.4
13,3,4.0,Expected,0.30000000000000004
13,4,4.0,Expected,0.30000000000000004
13,5,5.0,Expected,0.4
13,6,3.0,Expected,0.2
13,7,4.0,Expected,0.0
13,8,2.0,Expected,0.6
13,9,4.0,Expected,0.1
13,10,4.0,Expected,0.1
13,11,4.0,Expected,0.1
13,12,4.0,Expected,0.1
13,13,4.0,Expected,0.1
13,14,4.0,Expected,0.1
13,15,5.0,Expected,0.2
13,16,2.0,Expected,0.2
13,17,2.0,Expected,1.2000000000000002
13,18,5.0,Expected,0.0
13,19,2.0,Expected,1.7999999999999998
13,20,3.0,Expected,0.0
13,21,2.0,Expected,0.4
13,22,2.0,Expected,0.3
13,23,5.0,Expected,0.2
13,24,5.0,Expected,0.2
14,1,5.0,Expected,0.4
14,2,5.0,Expected,0.4
14,3,5.0,Expected,0.4
14,4,4.0,Expected,0.30000000000000004
14,5,4.0,Expected,0.30000000000000004
14,6,2.0,Expected,0.4
14,7,5.0,Expected,0.1
14,8,5.0,Expected,0.1
14,9,4.0,Expected,0.1
14,10,4.0,Expected,0.1
14,11,5.0,Expected,0.2
14,12,5.0,Expected,0.2
14,13,5.0,Expected,0.2
14,14,4.0,Expected,0.1
14,15,3.0,Expected,0.0
14,16,5.0,Expected,0.2
14,17,4.0,Expected,0.4
14,18,2.0,Expected,1.5
14,19,3.0,Expected,1.2
14,20,5.0,Expected,0.2
14,21,4.0,Expected,0.1
14,22,5.0,Expected,0.2
14,23,4.0,Expected,0.1
14,24,5.0,Expected,0.2
15,1,2.0,Expected,0.1
15,2,3.0,Expected,0.2
15,3,3.0,Expected,0.2
15,4,4.0,Expected,0.30000000000000004
15,5,5.0,Expected,0.4
15,6,2.0,Expected,0.4
15,7,4.0,Expected,0.0
15,8,4.0,Expected,0.0
15,9,5.0,Expected,0.2
15,10,2.0,Expected,0.2
15,11,4.0,Expected,0.1
15,12,4.0,Expected,0.1
15,13,5.0,Expected,0.2
15,14,3.0,Expected,0.0
15,15,5.0,Expected,0.2
15,16,3.0,Expected,0.0
15,17,2.0,Expected,1.2000000000000002
15,18,2.0,Expected,1.5
15,19,2.0,Expected,1.7999999999999998
15,20,3.0,Expected,0.0
15,21,2.0,Expected,0.4
15,22,2.0,Expected,0.3
15,23,4.0,Expected,0.1
15,24,4.0,Expected,0.1
16,1,2.0,Expected,0.1
16,2,2.0,Expected,0.1
16,3,5.0,Expected,0.4
16,4,2.0,Expected,0.1
16,5,3.0,Expected,0.2
16,6,2.0,Expected,0.4
16,7,2.0,Expected,0.8
16,8,3.0,Expected,0.3
16,9,5.0,Expected,0.2
16,10,2.0,Expected,0.2
16,11,2.0,Expected,0.3
16,12,3.0,Expected,0.0
16,13,4.0,Expected,0.1
16,14,3.0,Expected,0.0
16,15,3.0,Expected,0.0
16,16,3.0,Expected,0.0
16,17,3.0,Expected,0.8
16,18,5.0,Expected,0.0
16,19,2.0,Expected,1.7999999999999998
16,20,5.0,Expected,0.2
16,21,2.0,Expected,0.4
16,22,2.0,Expected,0.3
16,23,3.0,Expected,0.0
16,24,3.0,Expected,0.0
17,1,4.0,Expected,0.30000000000000004
17,2,5.0,Expected,0.4
17,3,5.0,Expected,0.4
17,4,3.0,Expected,0.2
17,5,5.0,Expected,0.4
17,6,4.0,Expected,0.0
17,7,4.0,Expected,0.0
17,8,3.0,Expected,0.3
17,9,2.0,Expected,0.2
17,10,4.0,Expected,0.1
17,11,3.0,Expected,0.0
17,12,5.0,Expected,0.2
17,13,3.0,Expected,0.0
17,14,3.0,Expected,0.0
17,15,2.0,Expected,0.2
17,16,5.0,Expected,0.2
17,17,3.0,Expected,0.8
17,18,5.0,Expected,0.0
17,19,3.0,Expected,1.2
17,20,4.0,Expected,0.1
17,21,5.0,Expected,0.2
17,22,2.0,Expected,0.3
17,23,5.0,Expected,0.2
17,24,2.0,Expected,0.3
18,1,4.0,Expected,0.30000000000000004
18,2,5.0,Expected,0.4
18,3,5.0,Expected,0.4
18,4,3.0,Expected,0.2
18,5,5.0,Expected,0.4
18,6,4.0,Expected,0.0
18,7,3.0,Expected,0.4
18,8,3.0,Expected,0.3
18,9,3.0,Expected,0.0
18,10,5.0,Expected,0.2
18,11,3.0,Expected,0.0
18,12,5.0,Expected,0.2
18,13,3.0,Expected,0.0
18,14,5.0,Expected,0.2
18,15,4.0,Expected,0.1
18,16,4.0,Expected,0.1
18,17,2.0,Expected,1.2000000000000002
18,18,5.0,Expected,0.0
18,19,5.0,Expected,0.0
18,20,3.0,Expected,0.0
18,21,2.0,Expected,0.4
18,22,3.0,Expected,0.0
18,23,3.0,Expected,0.0
18,24,2.0,Expected,0.3
19,1,5.0,Expected,0.4
19,2,3.0,Expected,0.2
19,3,4.0,Expected,0.30000000000000004
19,4,3.0,Expected,0.2
19,5,4.0,Expected,0.30000000000000004
19,6,2.0,Expected,0.4
19,7,5.0,Expected,0.1
19,8,2.0,Expected,0.6
19,9,3.0,Expected,0.0
19,10,4.0,Expected,0.1
19,11,5.0,Expected,0.2
19,12,3.0,Expected,0.0
19,13,5.0,Expected,0.2
19,14,5.0,Expected,0.2
19,15,4.0,Expected,0.1
19,16,2.0,Expected,0.2
19,17,2.0,Expected,1.2000000000000002
19,18,5.0,Expected,0.0
